Title, BuyNowPrice, format, Publisher, ReleaseDate 
Nineteen Eighty-Four, 14.69, Hardcover ,Mariner Books Classics, 2017-04-04T00:00:00 
Harry Potter and the Sorcerer's Stone, 7.49, Paperback ,Scholastic Inc., 2023-05-02T00:00:00 
To Kill a Mockingbird, 16.39, Hardcover ,Harper, 2015-03-03T00:00:00 
The Hunger Games, 4.79, Paperback ,Scholastic Press, 2010-07-03T00:00:00 
Fahrenheit 451, 7.49, Paperback ,Simon & Schuster, 2012-01-10T00:00:00 
The Alchemist, 8.19, Paperback ,HarperOne, 2014-04-15T00:00:00 
Animal Farm: A Fairy Story, 6.59, Mass Market Paperback ,Signet Book, 2004-04-06T00:00:00 
Where the Crawdads Sing, 4.89, Paperback ,G.P. Putnam's Sons, 2021-03-30T00:00:00 
Harry Potter and the Chamber of Secrets, 4.29, Hardcover ,Scholastic, 1999-07-01T00:00:00 
The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book, 5.69, Paperback ,Amber-Allen Publishing, 1997-11-07T00:00:00 
It Ends with Us, 4.69, Paperback ,Atria Books, 2016-08-02T00:00:00 
Harry Potter and the Prisoner of Azkaban, 5.39, Hardcover ,Scholastic, 1999-10-01T00:00:00 
Catching Fire, 6.69, Paperback ,Scholastic Press, 2013-06-04T00:00:00 
The Handmaid's Tale, 7.69, Paperback ,Vintage, 1998-03-16T00:00:00 
The Hobbit, 20.79, Hardcover ,William Morrow & Company, 2013-10-01T00:00:00 
How to Win Friends and Influence People, 6.49, Paperback ,Pocket Books, 1998-10-01T00:00:00 
The Great Gatsby, 6.49, Mass Market Paperback ,Pocket Books, 2020-11-17T00:00:00 
Verity, 5.89, Paperback ,Grand Central Publishing, 2021-10-26T00:00:00 
Mockingjay, 7.69, Paperback ,Scholastic Press, 2014-02-25T00:00:00 
Harry Potter and the Goblet of Fire, 10.09, Paperback ,Scholastic Inc., 2023-05-02T00:00:00 
The Giver, 4.99, Paperback ,Clarion Books, 1993-07-01T00:00:00 
Charlotte's Web, 4.49, Paperback ,HarperCollins, 2012-04-10T00:00:00 
Harry Potter and the Deathly Hallows, 11.19, Paperback ,Scholastic Inc., 2023-05-02T00:00:00 
Pride and Prejudice, 29.09, Hardcover ,Chronicle Books, 2020-09-15T00:00:00 
Harry Potter and the Half-Blood Prince, 8.19, Paperback ,Scholastic Inc., 2023-05-02T00:00:00 
The Seven Husbands of Evelyn Hugo, 6.29, Paperback ,Atria Books, 2018-05-29T00:00:00 
All the Light We Cannot See, 4.89, Paperback ,Scribner Book Company, 2017-04-04T00:00:00 
Green Eggs and Ham, 6.39, Board book ,Random House Books for Young Readers, 2001-01-01T00:00:00 
The Lion, the Witch and the Wardrobe, 4.19, Paperback ,HarperCollins, 1994-07-01T00:00:00 
Man's Search for Meaning, 7.99, Paperback ,Beacon Press, 2006-06-01T00:00:00 
The Book Thief, 4.69, Paperback ,Alfred A. Knopf Books for Young Readers, 2007-09-11T00:00:00 
Twilight, 9.49, Paperback ,Little, Brown Books for Young Readers, 2022-02-01T00:00:00 
Oh, the Thinks You Can Think!, 4.19, Board book ,Random House Books for Young Readers, 2009-08-11T00:00:00 
Lord of the Flies, 6.19, Paperback ,Penguin Books, 1999-10-01T00:00:00 
Educated, 4.39, Hardcover ,Random House, 2018-02-20T00:00:00 
Anne Frank: The Diary of a Young Girl, 18.99, Paperback ,Maple Press Pvt Ltd, 1912-01-08T00:00:00 
The Silent Patient, 6.59, Paperback ,Celadon Books, 2021-05-04T00:00:00 
The Power of Now: A Guide to Spiritual Enlightenment, 6.49, Hardcover ,New World Library, 1999-09-27T00:00:00 
The Nightingale, 7.79, Paperback ,St. Martin's Griffin, 2017-04-25T00:00:00 
Before We Were Yours, 4.39, Paperback ,Ballantine Books, 2019-05-21T00:00:00 
Brave New World, 7.49, Paperback ,Harper Perennial, 2006-10-17T00:00:00 
It Starts with Us, 4.89, Paperback ,Atria Books, 2022-10-18T00:00:00 
Mere Christianity, 6.09, Paperback ,Harper San Francisco, 2001-02-06T00:00:00 
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis, 5.69, Paperback ,Harper Paperbacks, 2018-05-01T00:00:00 
Wuthering Heights, 5.09, Paperback ,Penguin Classics, 2002-12-31T00:00:00 
One Fish, Two Fish, Red Fish, Blue Fish, 4.19, Hardcover ,Random House Books for Young Readers, 1960-03-12T00:00:00 
Rich Dad, Poor Dad, 6.89, Mass Market Paperback ,Plata Publishing, 2022-04-05T00:00:00 
How the Grinch Stole Christmas!, 8.19, Hardcover ,Random House Books for Young Readers, 2021-09-21T00:00:00 
Harry Potter and the Order of the Phoenix, 5.79, Hardcover ,Arthur A. Levine Books, 2003-07-01T00:00:00 
The Lightning Thief, 4.39, Paperback ,Disney-Hyperion, 2006-04-01T00:00:00 
