Title,Condition,Buy Price,Author,Publisher,ISBN
To Kill a Mockingbird,Good,16.29,Harper Lee,Harper,62420704
Fahrenheit 451,Good,7.39,Ray Bradbury,Simon & Schuster,1451673310
Animal Farm: A Fairy Story,Good,6.59,George Orwell,Signet Book,451526341
The Great Gatsby,Good,6.69,F. Scott Fitzgerald,Pocket Books,1982146702
Brave New World,Good,7.49,Aldous Huxley,Harper Perennial,60850523
The Outsiders,Good,5.69,S.E. Hinton,Penguin Young Readers Group,014240733X
The Catcher in the Rye,Good,6.59,J.D. Salinger,Back Bay Books,316769177
East of Eden,Acceptable,7.19,John Steinbeck,Penguin Books,142004235
The Old Man and the Sea,Very Good,9.09,Ernest Hemingway,Scribner Book Company,684830493
One Hundred Years of Solitude,Good,5.49,Gabriel García Márquez,Harper Perennial,60883286
"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",Good,17.39,Kurt Vonnegut Jr.,Modern Library,385312083
The Road,Good,15.69,Cormac McCarthy,Knopf Publishing Group,307265439
Beloved,Good,6.89,Toni Morrison,Vintage,1400033411
Outlander,Acceptable,12.29,Diana Gabaldon,Delacorte Press,385302304
The Grapes of Wrath,Good,6.59,John Steinbeck,Penguin Classics,143039431
Of Mice and Men,Good,4.79,John Steinbeck,Penguin Classics,140186425
L'Étranger,Good,15.29,Albert Camus,Everyman's Library,679420266
The Lord of the Rings: The Fellowship of the Ring,Good,7.39,J.R.R. Tolkien,William Morrow & Company,547928211
The Bell Jar,Good,16.79,Sylvia Plath,Harper,60174900
A Tree Grows in Brooklyn,Good,10.49,Betty Smith,Harper,60001941
Catch-22,Good,6.39,Joseph Heller,Simon & Schuster,1451626657
The Stand,Good,7.49,Stephen King,Anchor Books,593313887
It,Good,9.69,Stephen King,Scribner Book Company,1982127791
The Shining,Acceptable,6.29,Stephen King,Vintage,307743659
Lonesome Dove,New,19.56,Larry McMurtry,Simon & Schuster,1439195269
Wicked: The Life and Times of the Wicked Witch of the West,Good,6.39,Gregory Maguire,William Morrow & Company,62852841
The Hitchhiker’s Guide to the Galaxy,Good,8.39,Douglas Adams,Del Rey Books,345418913
The Sun Also Rises,Acceptable,7.49,Ernest Hemingway,Scribner Book Company,1501121960
American Gods,Good,6.39,Neil Gaiman,William Morrow & Company,63081911
Atlas Shrugged,Very Good,5.09,Ayn Rand,Signet Book,451191145
The Lord of the Rings: The Two Towers,Acceptable,6.09,J.R.R. Tolkien,William Morrow & Company,547928203
Flowers for Algernon,Good,17.69,Daniel Keyes,Mariner Books Classics,151001634
The Princess Bride,Acceptable,6.69,William Goldman,Harper Perennial,156035154
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Good,4.89,Neil Gaiman,William Morrow & Company,60853972
Gone With the Wind,Good,11.39,Margaret Mitchell,Scribner Book Company,1451635621
A Farewell to Arms,Good,6.49,Ernest Hemingway,Scribner Book Company,1476764522
For Whom the Bell Tolls,Good,7.29,Ernest Hemingway,Scribner Book Company,684803356
This Present Darkness,Good,12.89,Frank E. Peretti,Crossway,1581345283
Don Quixote,Acceptable,8.19,Miguel de Cervantes Saavedra,Penguin Classics,142437239
'Salem's Lot,New,16.64,Stephen King,Knopf Doubleday Publishing Group,345806794
Invisible Man,Good,4.89,Ralph Ellison,Vintage,679732764
Pet Sematary,Acceptable,8.39,Stephen King,Scribner Book Company,743412281
All the Pretty Horses,Good,4.39,Cormac McCarthy,Vintage,679744398
The Remains of the Day,Like New,21.59,Kazuo Ishiguro,Everyman's Library,307961443
The Black Echo,Good,4.99,Michael Connelly,Little Brown and Company,1538744392
Love in the Time of Cholera,Very Good,9.69,Gabriel García Márquez,Everyman's Library,375400699
The Drawing of the Three,Good,7.49,Stephen King,Scribner Book Company,1501143530
Kindred,Good,6.69,Octavia E. Butler,Beacon Press,807083690
A Confederacy of Dunces,Good,4.59,John Kennedy Toole,Grove Press,802130208
An Echo in the Bone,Good,5.89,Diana Gabaldon,Delacorte Press,385342454
Sula,Good,9.39,Toni Morrison,Knopf Publishing Group,375415351
Song of Solomon,Good,4.99,Toni Morrison,Vintage,140003342X
A Breath of Snow and Ashes,Good,5.49,Diana Gabaldon,Delacorte Press,385324162
The Witching Hour,Good,5.09,Anne Rice,Ballantine Books,345384466
