Title, Condition, Price
Nineteen Eighty-Four, Very Good, 9.69
Harry Potter and the Sorcerer's Stone, Good, 7.49
To Kill a Mockingbird, Good, 16.39
Fahrenheit 451, Good, 7.49
The Hunger Games, Good, 4.79
Animal Farm: A Fairy Story, Good, 6.59
The Alchemist, Good, 8.19
Where the Crawdads Sing, Good, 4.89
Harry Potter and the Chamber of Secrets, Good, 4.29
The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book, Good, 5.69
It Ends with Us, Good, 4.69
Harry Potter and the Prisoner of Azkaban, Good, 5.39
Catching Fire, Good, 6.69
The Handmaid's Tale, Good, 7.69
The Hobbit, Good, 20.79
How to Win Friends and Influence People, Good, 6.49
The Great Gatsby, Good, 6.49
Verity, Good, 5.89
Mockingjay, Acceptable, 7.69
Harry Potter and the Goblet of Fire, Good, 10.09
The Giver, Good, 4.99
Charlotte's Web, Good, 4.49
Harry Potter and the Deathly Hallows, Acceptable, 11.19
Pride and Prejudice, Very Good, 29.09
The Seven Husbands of Evelyn Hugo, Good, 6.29
Harry Potter and the Half-Blood Prince, Good, 8.19
All the Light We Cannot See, Good, 4.89
Green Eggs and Ham, Good, 6.39
The Lion, the Witch and the Wardrobe, Good, 4.19
Man's Search for Meaning, Good, 7.99
Twilight, Good, 9.49
The Book Thief, Good, 4.69
Oh, the Thinks You Can Think!, Good, 4.19
Educated, Good, 4.39
Lord of the Flies, Good, 6.19
Anne Frank: The Diary of a Young Girl, Very Good, 18.99
The Silent Patient, Good, 6.59
The Power of Now: A Guide to Spiritual Enlightenment, Good, 6.49
The Nightingale, Good, 7.79
Before We Were Yours, Good, 4.39
Brave New World, Good, 7.49
It Starts with Us, Good, 4.89
Mere Christianity, Good, 6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis, Good, 5.69
Wuthering Heights, Good, 5.09
One Fish, Two Fish, Red Fish, Blue Fish, Good, 4.19
Rich Dad, Poor Dad, Good, 6.89
How the Grinch Stole Christmas!, Good, 8.19
The Lightning Thief, Good, 4.39
Harry Potter and the Order of the Phoenix, Acceptable, 5.49
